GEM plant ID,production_2024_ttpa,steel_capacity_ttpa,iron_capacity_ttpa,eaf_capacity_ttpa,workforce,plant_age,country,equipment,active_status
P100000120620,2000.0,7800.0,4000.0,0.0,11000.0,61.0,Italy,BF; BOF; DRI; EAF,operating pre-retirement
P100000121029,475.0,850.0,0.0,850.0,1319.0,60.0,South Africa,EAF,operating
P100000120454,294.0,1200.0,0.0,1200.0,1746.0,56.0,Spain,EAF,operating
P100000120768,1113.0,1250.0,0.0,1250.0,730.0,39.0,Peru,DRI; EAF,operating
P100000120423,1139.0,2760.0,4782.0,0.0,3600.0,57.0,Germany,BF; BOF; DRI; EAF,operating pre-retirement
P100000120494,233.0,500.0,0.0,500.0,1080.0,32.0,Guatemala,EAF,operating
P100000120644,956.0,1495.0,0.0,1495.0,965.0,83.0,Japan,EAF,operating
P100000120439,1903.0,2100.0,2500.0,2100.0,2800.0,9.0,Algeria,DRI; EAF,operating
P100000121232,167.0,600.0,0.0,0.0,757.0,15.0,Pakistan,IF; Steel other/unspecified,operating
P100000120803,970.0,1150.0,0.0,1150.0,2277.0,84.0,Russia,DRI; EAF,operating
P100000120053,575.0,900.0,701.0,900.0,3598.0,77.0,Brazil,BF; EAF,operating
P100000120006,700.0,2000.0,600.0,2000.0,1594.0,80.0,Argentina,DRI; EAF,operating
P100000120459,2801.0,4200.0,0.0,0.0,3205.0,76.0,Spain,BOF,operating
P100000120452,799.0,1200.0,4700.0,0.0,3375.0,55.0,Spain,BF; BOF; DRI; EAF,both
P100000120050,400.0,800.0,0.0,800.0,232.0,89.0,Brazil,EAF,operating
P100000120426,3100.0,3960.0,3900.0,0.0,3100.0,69.0,Germany,BF; BOF; DRI; EAF,operating
P100000120785,3800.0,5001.0,2300.0,0.0,8800.0,50.0,Poland,BF; BOF,operating
P100000120714,1100.0,1350.0,0.0,1350.0,800.0,130.0,Luxembourg,EAF,operating
P100000120058,3100.0,4050.0,2929.0,1350.0,5000.0,114.0,Canada,BF; BOF; DRI; EAF,both
P100000120428,1000.0,1300.0,0.0,0.0,800.0,174.0,Germany,BOF; EAF,operating pre-retirement
P100000120425,1800.0,2400.0,1825.0,0.0,2700.0,76.0,Germany,BF; BOF; DRI; EAF,operating
P100000120715,800.0,2250.0,0.0,2250.0,1000.0,115.0,Luxembourg,EAF,both
P100000120027,5200.0,5200.0,5000.0,0.0,1933.0,60.0,Belgium,BF; BOF; DRI; EAF,operating
P100000120427,800.0,1100.0,600.0,1100.0,530.0,57.0,Germany,DRI; EAF,operating
P100000120045,950.0,1100.0,360.0,1100.0,1000.0,42.0,Brazil,BF; EAF,operating
P100000120906,1650.0,1083.0,3618.0,0.0,22000.0,92.0,Ukraine,BF; BOF; Steel other/unspecified,operating
P100000120725,2500.0,6500.0,4652.0,4000.0,8000.0,49.29,Mexico,BF; BOF; DRI; EAF,operating
P100000120035,1100.0,1200.0,1040.0,0.0,975.0,89.0,Brazil,BF; BOF; EAF,operating
P100000120057,1900.0,2400.0,1650.0,2400.0,1900.0,112.0,Canada,DRI; EAF,operating
P100000121027,939.0,0.0,0.0,0.0,1896.0,54.84,South Africa,BF; BOF; EAF,no active capacity
P100000120513,7544.0,9600.0,11570.0,4600.0,7000.0,31.0,India,BF; BOF; DRI; EAF; Iron other/unspecified; Steel other/unspecified,operating
P100000120458,1000.0,1450.0,0.0,1450.0,500.0,34.0,Spain,EAF,operating
P100000120040,3036.0,3046.0,3192.0,0.0,2500.0,10.0,Brazil,BF; BOF,operating
P100000120041,950.0,1100.0,0.0,1100.0,500.0,71.0,Brazil,EAF,operating
P100000120036,500.0,1000.0,0.0,1000.0,668.0,17.0,Brazil,EAF,operating
P100000120453,300.0,2000.0,0.0,2000.0,250.0,124.0,Spain,EAF,operating
P100000120719,700.0,800.0,0.0,800.0,729.0,21.0,Morocco,EAF,operating
P100000120034,6936.0,7500.0,7280.0,0.0,5000.0,43.0,Brazil,BF; BOF,operating
P100000121028,2600.0,3360.0,3860.0,0.0,4500.0,72.38,South Africa,BF; BOF; DRI; EAF,both
P100000120790,462.0,750.0,0.0,750.0,535.0,69.0,Poland,EAF,operating
P100000120568,377.0,1005.0,1024.0,0.0,1800.0,13.3,India,BF; BOF,operating
P100000120825,485.0,1000.0,0.0,1000.0,4226.0,126.0,Russia,EAF,operating
P100000120046,498.0,600.0,720.0,0.0,3000.0,11.0,Brazil,BF; BOF,operating
P100000120067,400.0,520.0,0.0,520.0,667.0,26.68,Chile,EAF,operating
P100000120016,352.0,800.0,0.0,800.0,2000.0,25.0,Azerbaijan,EAF,operating
P100000120817,961.0,1250.0,0.0,1250.0,4100.0,13.0,Russia,EAF,operating
P100000120223,10723.0,13440.0,12841.0,1040.0,17044.0,28.65,China,BF; BOF; EAF,both
P100000120483,4500.0,4500.0,3000.0,0.0,3000.0,162.0,United Kingdom,BF; BOF; EAF,operating pre-retirement
P100000120022,863.0,1150.0,0.0,0.0,1250.0,9.72,Bangladesh,IF,operating
P100000120056,2330.0,3000.0,0.0,3000.0,11789.0,42.0,Belarus,EAF,operating
P100000120984,500.0,860.0,0.0,860.0,280.0,58.0,United States,EAF,operating
P100000120456,1803.0,2500.0,0.0,2500.0,850.0,69.0,Spain,EAF,operating
P100000120474,790.0,1200.0,0.0,1200.0,311.0,61.0,France,EAF,operating
P100000120462,541.0,750.0,0.0,750.0,650.0,127.0,Spain,EAF,operating
P100000120788,804.0,1220.0,0.0,1220.0,1804.0,213.0,Poland,EAF,operating
P100000120467,721.0,1000.0,0.0,1000.0,330.0,55.0,Spain,EAF,operating
P100000120074,7583.0,8400.0,9735.0,0.0,5341.0,29.0,China,BF; BOF,operating
P100000120923,3848.0,5001.0,4960.0,0.0,4039.0,62.0,United States,BF; BOF,operating
P100000120919,308.0,908.0,0.0,908.0,1300.0,118.0,United States,EAF,operating
P100000120927,2617.0,4100.0,2810.0,0.0,2100.0,113.0,United States,BF; BOF,operating
P100000120924,154.0,800.0,0.0,800.0,754.0,216.0,United States,EAF,operating
P100000120920,2309.0,0.0,0.0,0.0,581.0,106.0,United States,BF; BOF,no active capacity
P100000120926,2957.0,6800.0,4200.0,0.0,3431.0,125.0,United States,BF; BOF; EAF,operating
P100000120061,1924.0,2500.0,2400.0,0.0,1250.0,46.0,Canada,BF; BOF,operating
P100000120971,385.0,546.0,0.0,546.0,413.0,102.0,United States,EAF,operating
P100000120921,2309.0,3000.0,2090.0,0.0,2363.0,125.0,United States,BF; BOF; DRI,operating
P100000120922,539.0,0.0,0.0,0.0,305.0,109.0,United States,BOF,no active capacity
P100000120925,231.0,0.0,0.0,0.0,577.0,160.0,United States,EAF,no active capacity
P100000120867,3000.0,4500.0,0.0,4500.0,,57.0,Türkiye,EAF,operating
P100000120039,3349.0,6251.0,5580.0,500.0,15518.0,80.0,Brazil,BF; BOF; EAF,operating
P100000121170,717.0,1000.0,0.0,1000.0,253.0,18.22,South Korea,EAF,operating
P100000120726,1770.0,2300.0,0.0,2300.0,500.0,28.0,Mexico,EAF,operating
P100000120730,910.0,2200.0,0.0,2200.0,500.0,40.0,Mexico,EAF,operating
P100000121031,1.0,600.0,600.0,600.0,2200.0,1.72,Zimbabwe,BF; EAF; Steel other/unspecified,operating
P100000120898,4389.0,6081.0,5000.0,1080.0,3224.0,33.0,Taiwan,BF; BOF; EAF,operating
P100001042874,73.0,200.0,0.0,200.0,869.0,64.0,Tunisia,EAF,operating
P100000120534,1337.0,1500.0,1568.0,0.0,8895.0,20.0,India,BF; BOF; Steel other/unspecified,operating
P100000120001,3254.0,3500.0,4200.0,3500.0,3703.0,23.0,United Arab Emirates,DRI; EAF,operating
P100000120871,3200.0,3801.0,3575.0,0.0,5600.0,61.0,Türkiye,BF; BOF; EAF,operating
P100000120436,1125.0,1400.0,0.0,1400.0,737.0,34.0,Germany,EAF,operating
P100000121236,714.0,1080.0,0.0,1080.0,898.0,56.0,India,EAF,operating
P100000120632,482.0,600.0,0.0,600.0,150.0,54.0,Italy,EAF,operating
P100000120626,977.0,1216.0,0.0,1216.0,421.0,58.0,Italy,EAF,operating
P100000120792,288.0,500.0,0.0,500.0,81.0,33.0,Poland,EAF,operating
P100000120228,604.0,999.0,0.0,999.0,6342.0,89.0,China,EAF,operating
