model,fold,RMSE,MAE,R2
Linear Regression,1,854.6531553655514,585.3343107692623,0.7897269871334678
Linear Regression,2,985.0423457659442,648.463623693487,0.925226409694228
Linear Regression,3,1157.8084466361374,830.4907293391645,0.5510096852013842
Linear Regression,4,1022.1507134363504,619.4778299510498,0.9102558443689522
Linear Regression,5,1017.1441159640818,699.6369113159915,0.855568446926548
Ridge,1,676.8785394121263,502.057098499013,0.868105943186485
Ridge,2,969.7275414255402,604.5043989039491,0.9275333987040968
Ridge,3,906.213020084206,652.4923490271167,0.7249420885314533
Ridge,4,957.1522018868277,574.9058890279887,0.9213066001051842
Ridge,5,909.3780601013408,608.4382356869111,0.884552098481513
Random Forest,1,532.4069186366712,357.80853658536586,0.9183998198166604
Random Forest,2,1007.5043366728672,572.9965853658535,0.9217773938862346
Random Forest,3,803.607767025923,564.4365853658536,0.7837023519821698
Random Forest,4,921.032826257513,543.3356097560976,0.9271337328579876
Random Forest,5,862.081865129621,532.2234146341464,0.8962485636998414
