number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,system_attrs_tpe:relative_params:0,state
0,977.8649240757532,2026-09-25 11:49:47.500899,2026-09-25 11:49:47.964230,0 days 00:00:00.463331,,0.8005575058716043,7,200,,COMPLETE
1,826.5286237041444,2026-09-25 11:49:47.976981,2026-09-25 11:49:48.675565,0 days 00:00:00.698584,,0.762378215816119,3,300,,COMPLETE
2,994.677495072134,2026-09-25 11:49:48.687979,2026-09-25 11:49:49.290760,0 days 00:00:00.602781,20.0,0.5998368910791798,7,300,,COMPLETE
3,1020.3385480578474,2026-09-25 11:49:49.302613,2026-09-25 11:49:49.746301,0 days 00:00:00.443688,20.0,0.9041986740582306,8,200,,COMPLETE
4,1035.9233627532526,2026-09-25 11:49:49.758236,2026-09-25 11:49:50.354101,0 days 00:00:00.595865,10.0,0.6293899908000085,8,300,,COMPLETE
5,1016.8795947128377,2026-09-25 11:49:50.365135,2026-09-25 11:49:50.620455,0 days 00:00:00.255320,10.0,0.9474136752138245,8,100,,COMPLETE
6,824.9830027415564,2026-09-25 11:49:50.636485,2026-09-25 11:49:51.148885,0 days 00:00:00.512400,20.0,0.9143687545759647,3,200,,COMPLETE
7,994.677495072134,2026-09-25 11:49:51.160531,2026-09-25 11:49:51.762071,0 days 00:00:00.601540,20.0,0.5993578407670862,7,300,,COMPLETE
8,816.5879212325744,2026-09-25 11:49:51.773480,2026-09-25 11:49:52.267344,0 days 00:00:00.493864,5.0,0.9315517129377968,1,200,,COMPLETE
9,1027.9657774819304,2026-09-25 11:49:52.280230,2026-09-25 11:49:52.532169,0 days 00:00:00.251939,10.0,0.7361074625809747,8,100,,COMPLETE
10,875.9552546128616,2026-09-25 11:49:52.543721,2026-09-25 11:49:52.951991,0 days 00:00:00.408270,5.0,0.5039641496517258,4,200,"{""max_depth"": 5, ""max_features"": 0.5039641496517258, ""min_samples_leaf"": 4, ""n_estimators"": 200}",COMPLETE
11,820.575112407809,2026-09-25 11:49:52.963607,2026-09-25 11:49:53.482369,0 days 00:00:00.518762,5.0,0.8961920569640419,1,200,"{""max_depth"": 5, ""max_features"": 0.8961920569640419, ""min_samples_leaf"": 1, ""n_estimators"": 200}",COMPLETE
12,824.7579998852596,2026-09-25 11:49:53.495147,2026-09-25 11:49:53.984557,0 days 00:00:00.489410,5.0,0.8248734046358553,1,200,"{""max_depth"": 5, ""max_features"": 0.8248734046358553, ""min_samples_leaf"": 1, ""n_estimators"": 200}",COMPLETE
13,814.0445954314393,2026-09-25 11:49:53.995223,2026-09-25 11:49:54.581843,0 days 00:00:00.586620,10.0,0.9965833368756356,2,200,"{""max_depth"": 10, ""max_features"": 0.9965833368756356, ""min_samples_leaf"": 2, ""n_estimators"": 200}",COMPLETE
14,823.3183020938213,2026-09-25 11:49:54.602955,2026-09-25 11:49:55.231085,0 days 00:00:00.628130,10.0,0.9846401706890733,1,200,"{""max_depth"": 10, ""max_features"": 0.9846401706890733, ""min_samples_leaf"": 1, ""n_estimators"": 200}",COMPLETE
15,826.2558777247598,2026-09-25 11:49:55.243493,2026-09-25 11:49:55.925159,0 days 00:00:00.681666,5.0,0.8980414106301866,3,300,"{""max_depth"": 5, ""max_features"": 0.8980414106301866, ""min_samples_leaf"": 3, ""n_estimators"": 300}",COMPLETE
16,827.1051824289307,2026-09-25 11:49:55.938081,2026-09-25 11:49:56.428286,0 days 00:00:00.490205,5.0,0.9975731252159747,3,200,"{""max_depth"": 5, ""max_features"": 0.9975731252159747, ""min_samples_leaf"": 3, ""n_estimators"": 200}",COMPLETE
17,844.8112144408436,2026-09-25 11:49:56.443451,2026-09-25 11:49:56.947880,0 days 00:00:00.504429,10.0,0.8664383947890231,4,200,"{""max_depth"": 10, ""max_features"": 0.8664383947890231, ""min_samples_leaf"": 4, ""n_estimators"": 200}",COMPLETE
18,828.382037630922,2026-09-25 11:49:56.959340,2026-09-25 11:49:57.449078,0 days 00:00:00.489738,5.0,0.6613723723986846,1,200,"{""max_depth"": 5, ""max_features"": 0.6613723723986846, ""min_samples_leaf"": 1, ""n_estimators"": 200}",COMPLETE
19,880.0651927134002,2026-09-25 11:49:57.461820,2026-09-25 11:49:58.048356,0 days 00:00:00.586536,10.0,0.99698805868019,5,200,"{""max_depth"": 10, ""max_features"": 0.99698805868019, ""min_samples_leaf"": 5, ""n_estimators"": 200}",COMPLETE
20,826.2925452483857,2026-09-25 11:49:58.065198,2026-09-25 11:49:58.608039,0 days 00:00:00.542841,5.0,0.7512035442005175,3,200,"{""max_depth"": 5, ""max_features"": 0.7512035442005175, ""min_samples_leaf"": 3, ""n_estimators"": 200}",COMPLETE
21,819.1172395786018,2026-09-25 11:49:58.638482,2026-09-25 11:49:59.197976,0 days 00:00:00.559494,5.0,0.9040051568926912,1,200,"{""max_depth"": 5, ""max_features"": 0.9040051568926912, ""min_samples_leaf"": 1, ""n_estimators"": 200}",COMPLETE
22,827.2325350777188,2026-09-25 11:49:59.212714,2026-09-25 11:50:00.137871,0 days 00:00:00.925157,10.0,0.9610475118678332,3,300,"{""max_depth"": 10, ""max_features"": 0.9610475118678332, ""min_samples_leaf"": 3, ""n_estimators"": 300}",COMPLETE
23,830.9596394876598,2026-09-25 11:50:00.149460,2026-09-25 11:50:00.511945,0 days 00:00:00.362485,,0.8467351994849954,1,100,"{""max_depth"": null, ""max_features"": 0.8467351994849954, ""min_samples_leaf"": 1, ""n_estimators"": 100}",COMPLETE
24,820.6151878293933,2026-09-25 11:50:00.526544,2026-09-25 11:50:00.915754,0 days 00:00:00.389210,,0.9942485835737698,1,100,"{""max_depth"": null, ""max_features"": 0.9942485835737698, ""min_samples_leaf"": 1, ""n_estimators"": 100}",COMPLETE
25,813.1652439721196,2026-09-25 11:50:00.927614,2026-09-25 11:50:01.499039,0 days 00:00:00.571425,,0.965085063641008,2,200,"{""max_depth"": null, ""max_features"": 0.965085063641008, ""min_samples_leaf"": 2, ""n_estimators"": 200}",COMPLETE
26,814.4211744153906,2026-09-25 11:50:01.509957,2026-09-25 11:50:02.083489,0 days 00:00:00.573532,,0.8683081634931371,2,200,"{""max_depth"": null, ""max_features"": 0.8683081634931371, ""min_samples_leaf"": 2, ""n_estimators"": 200}",COMPLETE
27,814.9884832221097,2026-09-25 11:50:02.099105,2026-09-25 11:50:02.654520,0 days 00:00:00.555415,,0.9523067712431029,2,200,"{""max_depth"": null, ""max_features"": 0.9523067712431029, ""min_samples_leaf"": 2, ""n_estimators"": 200}",COMPLETE
28,832.4260699327133,2026-09-25 11:50:02.666349,2026-09-25 11:50:02.985810,0 days 00:00:00.319461,10.0,0.9302904543385173,1,100,"{""max_depth"": 10, ""max_features"": 0.9302904543385173, ""min_samples_leaf"": 1, ""n_estimators"": 100}",COMPLETE
29,822.0172554498738,2026-09-25 11:50:02.997573,2026-09-25 11:50:03.502510,0 days 00:00:00.504937,,0.7216196980937797,2,200,"{""max_depth"": null, ""max_features"": 0.7216196980937797, ""min_samples_leaf"": 2, ""n_estimators"": 200}",COMPLETE
