mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.03905730247497559,0.001036795525673302,0.005243873596191407,0.0003463470714891862,100,8,0.6,20,"{'model__n_estimators': 100, 'model__min_samples_leaf': 8, 'model__max_features': 0.6, 'model__max_depth': 20}",-530.0681480024044,-1494.0235703828341,-863.3052669127954,-1429.1664777551928,-834.1694901362706,-1030.1465906378994,371.6773392781682,12
0.08395562171936036,0.00043661155319880783,0.007278013229370117,0.00024209527342339615,200,4,0.8,,"{'model__n_estimators': 200, 'model__min_samples_leaf': 4, 'model__max_features': 0.8, 'model__max_depth': None}",-542.0137282348139,-1023.0324154944907,-781.920238598544,-1090.1153141481818,-803.8272961416383,-848.1817985235339,194.5257657520891,6
0.07396211624145507,0.0013284825336575263,0.0074100494384765625,0.0002884165623955833,200,8,0.6,10,"{'model__n_estimators': 200, 'model__min_samples_leaf': 8, 'model__max_features': 0.6, 'model__max_depth': 10}",-525.1902594249926,-1474.5574001799234,-859.8047761295135,-1452.9301307126639,-822.7051396821879,-1027.0375412258563,375.02739746086115,11
0.11213665008544922,0.000896350296612959,0.008108711242675782,0.0007817470080928688,200,1,1.0,10,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 10}",-550.7307642635052,-1020.1646847952107,-808.7604576458486,-895.2368992785538,-848.5743368662736,-824.6934285698784,154.31467334463605,3
0.1276806354522705,0.010591283801147898,0.010220623016357422,0.0002494466207902383,300,4,0.8,5,"{'model__n_estimators': 300, 'model__min_samples_leaf': 4, 'model__max_features': 0.8, 'model__max_depth': 5}",-549.3070274828082,-1052.6675358643265,-789.0791614779479,-1086.396684176863,-802.0254834021038,-855.8951784808098,196.57717225903264,9
0.05920486450195313,0.0020097160700036907,0.006519699096679687,0.00017293205447997323,100,1,0.8,,"{'model__n_estimators': 100, 'model__min_samples_leaf': 1, 'model__max_features': 0.8, 'model__max_depth': None}",-572.3220727791686,-1000.332995413125,-808.7124119466606,-969.3123197929754,-881.6567119059325,-846.4673023675725,152.698973803407,5
0.062296581268310544,0.0005640583798066583,0.005917549133300781,0.00010413156279334861,100,1,1.0,20,"{'model__n_estimators': 100, 'model__min_samples_leaf': 1, 'model__max_features': 1.0, 'model__max_depth': 20}",-532.082237752754,-1011.8999139285152,-804.0539910187441,-924.3728588109533,-862.4097542531306,-826.9637511528196,162.74292718717678,4
0.13059144020080565,0.0010248481612874926,0.009882736206054687,0.00034125294896028574,300,2,1.0,5,"{'model__n_estimators': 300, 'model__min_samples_leaf': 2, 'model__max_features': 1.0, 'model__max_depth': 5}",-528.376987509074,-954.5132687413571,-785.7857397829254,-930.9742158200014,-858.813096724839,-811.6926617156394,153.48295683322692,1
0.04528741836547852,0.0010648590335035357,0.00527644157409668,0.0003290368848506881,100,4,1.0,5,"{'model__n_estimators': 100, 'model__min_samples_leaf': 4, 'model__max_features': 1.0, 'model__max_depth': 5}",-549.3287358096578,-1029.6828053110632,-799.1891400075622,-1076.0757578812568,-805.1835358864859,-851.8919949792053,188.87653568384772,7
0.04440903663635254,0.00023567031948978144,0.005078172683715821,6.2620175715930245e-06,100,4,0.8,,"{'model__n_estimators': 100, 'model__min_samples_leaf': 4, 'model__max_features': 0.8, 'model__max_depth': None}",-548.3410157553942,-1032.9550631317422,-788.456887421241,-1095.7003288952585,-811.4157951726085,-855.3738180752489,194.9211407132535,8
0.04317178726196289,0.00018431650461652266,0.005057716369628906,6.163064469429805e-05,100,2,0.8,5,"{'model__n_estimators': 100, 'model__min_samples_leaf': 2, 'model__max_features': 0.8, 'model__max_depth': 5}",-512.0686932825461,-982.2521658030838,-785.9106147281128,-925.8077328036104,-879.6970522878715,-817.1472517810448,165.5462863755165,2
0.04134840965270996,0.0006129642980605346,0.005248212814331054,0.00023986348057802206,100,4,0.6,10,"{'model__n_estimators': 100, 'model__min_samples_leaf': 4, 'model__max_features': 0.6, 'model__max_depth': 10}",-554.3877456033765,-1065.8921487488706,-799.6195539270632,-1140.373073743687,-812.232129812938,-874.5009303671872,209.41617426402445,10
