schema_context,column,check,check_number,failure_case,index
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,14
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,20
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,59
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,103
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,107
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,118
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,183
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,219
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,231
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,236
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,237
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,238
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,239
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,>0,282
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,291
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,295
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,338
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,369
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,377
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,379
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,405
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,425
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,426
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,454
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,>0,458
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,460
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,487
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,505
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,506
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,516
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,521
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,546
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,581
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,611
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,639
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,665
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,695
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,696
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,742
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,779
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,798
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,811
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,850
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,866
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,882
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,884
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,907
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,912
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,939
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,967
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,978
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,>0,984
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,996
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,1087
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,1182
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,1184
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,1200
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,1205
Column,Nominal crude steel capacity (ttpa) [operating],dtype('float64'),,N/A,1211
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,67
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,105
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,153
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,198
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,>0,282
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,339
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,418
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,425
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,462
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,463
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,555
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,564
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,621
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,706
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,915
Column,Nominal crude steel capacity (ttpa) [operating pre-retirement],dtype('float64'),,N/A,917
