GEM plant ID,split
P100000120620,train
P100000121029,train
P100000120454,train
P100000120768,train
P100000120423,train
P100000120494,train
P100000120644,test
P100000120439,train
P100000121232,train
P100000120803,test
P100000120053,test
P100000120006,train
P100000120459,train
P100000120452,train
P100000120050,train
P100000120426,test
P100000120785,test
P100000120714,train
P100000120058,test
P100000120428,test
P100000120425,train
P100000120715,train
P100000120027,train
P100000120427,train
P100000120045,test
P100000120906,test
P100000120725,train
P100000120035,train
P100000120057,train
P100000121027,train
P100000120513,test
P100000120458,train
P100000120040,train
P100000120041,test
P100000120036,train
P100000120453,train
P100000120719,train
P100000120034,train
P100000121028,train
P100000120790,train
P100000120568,train
P100000120825,train
P100000120046,train
P100000120067,train
P100000120016,train
P100000120817,test
P100000120223,train
P100000120483,train
P100000120022,train
P100000120056,train
P100000120984,train
P100000120456,train
P100000120474,train
P100000120462,train
P100000120788,train
P100000120467,test
P100000120074,train
P100000120923,train
P100000120919,train
P100000120927,train
P100000120924,train
P100000120920,train
P100000120926,train
P100000120061,train
P100000120971,train
P100000120921,train
P100000120922,train
P100000120925,test
P100000120867,test
P100000120039,train
P100000121170,train
P100000120726,train
P100000120730,train
P100000121031,test
P100000120898,train
P100001042874,train
P100000120534,train
P100000120001,train
P100000120871,train
P100000120436,train
P100000121236,train
P100000120632,train
P100000120626,test
P100000120792,train
P100000120228,test
P100000120082,train
P100000120033,test
P100000120980,train
P100000120727,train
P100000120735,train
P100000120042,test
P100000120047,train
P100000120982,train
P100001044952,train
P100000120931,train
P100000120983,train
P100000120932,train
P100000120055,test
P100000120048,train
P100000120769,train
P100000120009,train
P100000120796,test
P100000120736,train
P100000120733,train
P100000120737,train
P100001062853,train
P100000120499,train
P100000120705,train
P100000120800,test
P100000120422,train
P100000120695,train
P100000120696,train
P100000120697,train
P100000120795,train
P100000120182,test
P100000120915,train
P100000120639,train
P100000120875,train
P100000120547,train
P100000120652,train
P100000120653,test
P100000120646,train
P100000120647,train
P100000120651,train
P100000120649,train
P100000120648,train
P100000120544,train
P100000120543,test
P100000120515,train
P100000120516,train
P100000120721,train
P100000120510,train
P100000120517,train
P100000120536,train
P100000120518,train
P100000120935,train
P100000120519,train
P100000120538,train
P100000120429,train
P100000120655,train
P100000120501,train
P100000120961,train
P100000120181,train
P100000120717,train
P100000120225,test
P100000120335,train
P100000120069,test
P100000120807,train
P100000120722,train
P100000120487,train
P100000120805,test
P100000120812,train
P100000120909,train
P100000120962,train
P100000120916,train
P100001062087,train
P100000121156,train
P100000120679,train
P100000120190,train
P100000120540,test
P100000120664,train
P100000120659,train
P100000120666,test
P100000120662,train
P100000120663,train
P100000120661,test
P100000120658,train
P100001041253,train
P100001041252,train
P100000120808,train
P100000120523,train
P100000120936,train
P100000120660,test
P100000120938,test
P100000121155,train
P100000120953,test
P100000120939,train
P100000120940,train
P100000120945,train
P100000120946,train
P100000120941,train
P100000120942,test
P100000120948,test
P100000120947,train
P100000120944,train
P100000120943,train
P100000120951,test
P100000120952,train
P100000120950,train
P100000120949,train
P100000120017,test
P100000120628,train
P100000120699,test
P100000120700,train
P100000120710,train
P100000120531,train
P100000120432,train
P100000120525,train
P100000120526,train
P100000120527,train
P100000120524,test
P100000120528,train
P100000120424,train
P100000120484,train
P100000120701,train
P100000120702,train
P100000120760,test
P100000120818,train
P100000121004,test
P100000120853,train
P100000120052,train
P100000120051,train
P100000121176,train
P100000120933,train
P100000120934,train
P100000120845,train
P100000120844,test
P100000120957,train
P100000120958,train
P100000120959,train
P100000120973,train
P100000120972,train
P100000120960,train
P100000120031,test
P100000120032,train
P100000120575,test
P100000120535,train
P100000120758,train
P100000120529,train
P100000120852,train
P100000120530,train
P100000120511,test
P100000120482,train
P100000120731,train
P100000120007,train
P100000120734,train
P100000120038,train
P100000120729,train
P100000120728,train
P100000120008,train
P100000120668,test
P100000120669,test
P100000120670,train
P100000120671,test
P100001045582,train
P100000120732,train
P100000120419,train
P100000120854,train
P100000120928,train
P100000120964,train
P100000120965,train
P100000120966,train
P100000120043,test
P100000121001,train
P100000120044,train
P100000120011,test
P100000120010,train
